pdf,global_id,dataset,well_name,locid,parlabel,parvq,risunits,logdate,lat,long,ns
Y,03048531,FRACK,Aera Energy LLC,926AR2-34 ,WELL # 926AR2-34 ,=,null,BELRIDGE SOUTH OILFIELD,35.446336,-119.70407,1
Y,02967380,FRACK,Occidental of Elk Hills Inc.,266-24R,WELL # 266-24R,=,null,ELK HILLS OILFIELD,35.301163,-119.45300,1
null,11102746,FRACK,Seneca Resources Corporation,22-32,!RED ROCK! 22-32 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4790939,-118.89807,1
null,11120067,FRACK,Seneca Resources Corporation,2,!FRANKEL B! 2 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4761949,-118.86751,1
null,11120954,FRACK,Seneca Resources Corporation,24,!FRANKEL B! 24 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4761307,-118.86740,1
Y,03046175,FRACK,Aera Energy LLC,7191,!LOST HILLS TWO! 7191,=,null,LOST HILLS OILFIELD,35.654993,-119.75414,1
null,11121213,FRACK,Seneca Resources Corporation,75-31,!WITMER! 75-31 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4723802,-118.90291,1
Y,03044192,FRACK,Aera Energy LLC,523NR3-29,WELL # 523NR3-29,=,null,BELRIDGE SOUTH OILFIELD,35.465479,-119.73928,1
Y,03049258,FRACK,Aera Energy LLC,533D5-35 ,WELL # 533D5-35 ,=,null,BELRIDGE NORTH OILFIELD,35.533749,-119.77940,1
Y,03046188,FRACK,Aera Energy LLC,7269,!LOST HILLS TWO! 7269 - DIRECTIONALLY DRILLED,=,null,LOST HILLS OILFIELD,35.65292,-119.75656,1
null,11102751,FRACK,Seneca Resources Corporation,18-28,!SHALE RIDGE! 18-28 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4832197,-118.88285,1
null,11120685,FRACK,Vintage Production California LLC,4,!BARKER-FERNDALE! 4 - DIRECTIONALLY DRILLED,=,null,OJAI OILFIELD,34.4338553,-119.08537,1
